"标准店名","出现写法","评论提及数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","推荐判定","语义判定依据","精筛结论","类别","平台匹配状态","高德链接","点评链接","精筛阶段","证据BV号","证据评论ID","证据摘录","备注"
"熙盛源","熙盛源／熙盛源馄饨","197","16","无锡市","无锡市","36","2","7","153","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；明确重复到店行为；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","馄饨／小笼","双平台已有记录","https://ditu.amap.com/place/B01FE0IEK5","https://m.dianping.com/shop/19791066?msource=applemaps","P2-双平台匹配","BV1e314YJEFA","245730230704","熙盛源的开洋馄饨和小笼包正宗吗，我去无锡吃过一次，还觉得挺好吃的","分店待确认"
"毛华美食","毛华／毛华美食","129","21","无锡市","无锡市","29","3","4","94","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；明确重复到店行为；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","无锡小吃","仅地图已有记录","https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E6%AF%9B%E5%8D%8E%E7%BE%8E%E9%A3%9F%20%E5%A4%AA%E6%B9%96%E5%B9%BF%E5%9C%BA","","P1-单平台匹配","BV1QT421C7iV","219609125216","毛华哇 确实好吃 每周都来[打call]","分店待确认"
"三凤桥","三凤桥／三凤桥客堂／三凤桥大排档","162","21","无锡市","无锡市","22","5","8","129","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","熟食／本帮菜","待平台核验","","","N-待平台核验","BV1KbygBJELh","282858751040","是的，开洋拌馄饨，小笼包，三凤桥蹄髈，三凤桥红烧肉都很好吃[滑稽] 当然这些都蛮甜的，外地人不一定爱吃，本地人也可能有不爱吃的，我很爱吃[喜欢]","品牌与分店待拆分"
"老牛窝里","老牛窝里","156","11","无锡市","无锡市","16","3","19","119","存在明确推荐","含反讽或戏谑信号；含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","无锡菜","仅点评已有记录","","https://m.dianping.com/shopshare/k2jrXPTJ619rTjOn","P1-单平台匹配","BV1e314YJEFA","245748793200","看片头这不是老牛窝里吗？老牛窝里不可能说的这么差的，而且这点的也都是老牛窝里的招牌菜，虽然我老店有十年没去吃了，但新店我是一直去吃的，我不太相信新店和老店有多少区别都是一家师傅出来的，不然我不太相信这个视频的真实性，尤其是筒肠，老牛窝里的筒…",""
"王兴记","王兴记","141","12","无锡市","无锡市","16","2","22","102","存在明确推荐","含反讽或戏谑信号；含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","双平台已有记录","https://ditu.amap.com/place/B0FFG0VNII","https://www.dianping.com/shop/544040/photos","P2-双平台匹配","BV1oP6mB4EuX","286201351841","福乐就是最传统的老店了，特点是开洋味浓，价格便宜的提前下品质比较好，比它价格便宜的没它好吃，比它好吃的肯定比它贵，加上市中心的位置，复古的售卖方式，算是比较有代表性且性价比很高的无锡特色小吃了，红汤辣用了一部分鲜椒，味道比较复合，酱油是老酱…","分店待确认"
"天福苑","天福苑","44","13","无锡市","无锡市","14","2","1","28","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","无锡菜","双平台已有记录","https://www.amap.com/ranking/wuxi/food/320213","https://www.dianping.com/shop/543610/photos","P2-双平台匹配","BV1Z9NJ6vEPS","308801539296","无锡本地人，鸡鸭鹅不好吃[夏日萌菜表情包_两眼一黑]，不是正儿八经的无锡本帮菜，天福苑的好吃","分店待确认"
"曹张圆圆包子","曹张圆圆包子／圆圆包子／园园包子／元元包子","48","8","无锡市","无锡市","12","0","2","34","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","包子／早餐","双平台已有记录","https://ranks.amap.com/ranking/%E5%8C%85%E5%AD%90%E9%93%BA/320200/%E6%B8%B8%E5%AE%A2","https://www.dianping.com/review/893143600","P2-双平台匹配","BV19XZDYQE4L","259556632912","包子要吃鸿运大包或者曹张元元包子 好吃的","别名写法待地图确认"
"超王记","超王记","84","12","无锡市","江阴市／无锡市","10","1","5","68","存在明确推荐","含反讽或戏谑信号；含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","无锡小吃","待平台核验","","","N-待平台核验","BV1cURwYnEum","257097214080","我觉得超王记挺好吃的，苏兴记也可以。",""
"笑来喜","笑来喜","48","9","无锡市","江阴市／无锡市","9","2","6","31","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","待平台核验","","","N-待平台核验","BV1L1421Z7Zz","217160381328","方桥不行，都是方便面调料味，可以去澄江福地寿山路口的笑来喜","分店待确认"
"福乐馄饨","福乐／福乐馄饨／福乐馄饨店","63","9","无锡市","无锡市","7","2","3","51","存在明确推荐","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","馄饨","待平台核验","","","N-待平台核验","BV1e314YJEFA","245737223248","我是老无锡人了 无锡真的好吃的苍蝇馆子 在老第四人民医院那边有个福乐馄饨 谁吃谁知道","短别名仅按完整词匹配"
