候选写法,标准店名,审计结论,城市,区县或县级市,类别,备注
晓峰菜馆,晓峰菜馆,新增实体,无锡市,锡山区,家常菜,明确推荐；高德检出安镇街道实体，与小峰饭店不是同一条地图结果
春雷老面馆,春雷老面馆,新增实体,无锡市,,面馆,评论称从小吃到大；待平台补齐地址
礼嘉坂上东街面馆,礼嘉坂上东街面馆,新增实体,常州市,武进区,面馆,评论明确推荐礼嘉坂上东街门店；待平台核验正式店名
西新桥三村银丝面店,常州银丝面馆,新增实体,常州市,钟楼区,面馆,高德匹配常州银丝面馆西新桥店；评论明确推荐豆腐汤和萝卜丝包子
老杨汤包,老杨汤包,新增实体,常州市,钟楼区,汤包,同一常州推荐清单明确称汤包好吃
托福炸鸡,托福炸鸡排,新增实体,常州市,钟楼区,炸鸡,同一常州推荐清单明确推荐鸡排鸡腿
银桂馒头店,迎桂馒头店,新增实体,常州市,钟楼区,包子,旧评论写作银桂；新常州视频评论写作迎桂馒头店且明确称好吃，正式字样待平台复核
面去水门桥面馆,水门桥面馆,新增实体,常州市,,面馆,候选边界截断；评论原文为吃面去水门桥面馆
在江大附中路口的阿林面馆,阿林面馆,新增实体,无锡市,滨湖区,面馆,评论提供江大附中路口位置且明确推荐
惠珍妈妈那家店挺,惠珍妈妈,新增实体,苏州市,,餐厅,评论明确为苏州饭店且称好吃；正式店名待平台核验
方桥点心店,方桥点心,合并别名,无锡市,,点心,候选为现有实体的完整后缀写法
旁边那家大口没事烤肉,大口没事烤肉,合并别名,无锡市,,烤肉,候选带方位口语前缀；核心店名已在词典
锡胡记馄饨,锡胡记,合并别名,无锡市,滨湖区,馄饨,评论明确提到滨湖店；合并到现有实体
祝琴拌馄饨,祝琴小吃,合并别名,无锡市,,馄饨,菜品化写法合并到现有祝琴小吃
长春观素菜馆,长春观素菜馆,范围外排除,武汉市,,素菜馆,评论明确推荐武汉饭店，不属于本项目四市范围
廿一,廿一,新增实体,无锡市,,馄饨,与老老头并列且明确称拌馄饨好吃
鸿运大包,鸿运大包,新增实体,无锡市,,包子,多条评论明确推荐；过去因候选边界截成形容词而漏选
富爸爸,富爸爸,新增实体,无锡市,新吴区,烤肉自助,评论明确给出新之城门店且称多次到店性价比高
胖叔叔,胖叔叔,新增实体,无锡市,,烤肉自助,评论明确给出碧乐城新店且称多次到店性价比高
丰茂烤串,丰茂烤串,新增实体,无锡市,,烧烤,评论称还可以；待平台确认对应分店
星光小屋烤肉,星光小屋烤肉,新增实体,无锡市,滨湖区,烤肉,评论给出江大附近位置并称不错
一绪,一绪,新增实体,无锡市,,寿喜烧,与其他烤肉自助店并列推荐
五番亭,五番亭,非本批次排除,无锡市,,餐厅,证据仅存在于不属于正式751条来源的早期试抓JSON
翼,翼,新增实体,无锡市,,餐厅,处于评论整句“这几个都可以”的推荐清单；名称歧义待平台核验
架在火上烤,架在火上烤,新增实体,无锡市,,烤肉,处于评论整句“这几个都可以”的推荐清单
大公桥,大公桥,新增实体,无锡市,梁溪区,餐厅,评论明确称适合小型宴请；正式店名待平台核验
同庆楼,同庆楼,新增实体,无锡市,,江浙菜,评论提到红烧肉并推荐大型宴请
水悦山庄,水悦山庄,新增实体,无锡市,,餐厅,评论推荐作商务宴请
然后还有一个龙凤大包也很,龙凤包子,合并别名,无锡市,,包子,候选边界过长；评论指向妇幼对面的龙凤大包
南京大排档,南京大排档,范围外排除,南京市,,江浙菜,评论明确推荐南京餐厅，不属于本项目四市范围
德喜楼,德喜楼,新增实体,无锡市,,无锡菜／面馆,评论在明确饭店推荐清单中且另有面食价格线索
梁福人家,梁福人家,新增实体,无锡市,,家常菜,与德喜楼和双和楼并列于明确饭店推荐清单
稻香楼,稻香楼,非本批次排除,无锡市,,家常菜,证据仅存在于不属于正式751条来源的早期试抓JSON
许阿姨鸡蛋饼,许阿姨鸡蛋饼,新增实体,无锡市,,小吃,处于稻香片区美食清单；待核验是否为固定门店
翠山一号,翠山一号,新增实体,无锡市,,餐厅,评论明确称早茶好吃但已涨价
山野,山野,新增实体,无锡市,,餐厅,评论明确称不错；名称歧义待平台核验
芦庄超王记,超王记,合并别名,无锡市,,小笼／馄饨,带区域前缀的品牌写法
德勤兴,勤德兴,合并别名,无锡市,,小笼／馄饨,评论错序写法
王星记,王兴记,合并别名,无锡市,,小笼／馄饨,评论同音错写
新梨庄尚宴,新梨庄,合并别名,无锡市,,无锡菜,评论使用完整宴会品牌写法
